sae_feature_id,count_wrong,count_correct,freq_correct,freq_wrong,freq_difference_wrong_minus_correct
15477,5.0,35.0,0.35,0.5555555555555556,0.2055555555555556
10980,9.0,99.0,0.99,1.0,0.010000000000000009
164,9.0,100.0,1.0,1.0,0.0
886,9.0,100.0,1.0,1.0,0.0
14759,9.0,100.0,1.0,1.0,0.0
14154,9.0,100.0,1.0,1.0,0.0
13092,9.0,100.0,1.0,1.0,0.0
12177,9.0,100.0,1.0,1.0,0.0
12054,9.0,100.0,1.0,1.0,0.0
10934,9.0,100.0,1.0,1.0,0.0
10886,9.0,100.0,1.0,1.0,0.0
9276,9.0,100.0,1.0,1.0,0.0
7293,9.0,100.0,1.0,1.0,0.0
4801,9.0,100.0,1.0,1.0,0.0
4735,9.0,100.0,1.0,1.0,0.0
4608,9.0,100.0,1.0,1.0,0.0
4420,9.0,100.0,1.0,1.0,0.0
3926,9.0,100.0,1.0,1.0,0.0
16012,9.0,100.0,1.0,1.0,0.0
2398,8.0,89.0,0.89,0.8888888888888888,-0.0011111111111111738
4857,0.0,2.0,0.02,0.0,-0.02
3228,2.0,30.0,0.3,0.2222222222222222,-0.07777777777777778
9779,3.0,45.0,0.45,0.3333333333333333,-0.1166666666666667
